Time,ProdWnow,ConsWnow,ProdWhToday,ConsWhToday,ProdWh7day,ConsWh7day,ProdWhLife,ConsWhLife
Fri Mar 23 02:30:06 2018, 0, 3927, 0, 6381, 342364, 353847, 1665235, 2642724
Fri Mar 23 02:45:05 2018, 0, 182, 0, 6996, 342364, 353990, 1665235, 2643339
Fri Mar 23 03:00:06 2018, 0, 3429, 0, 7186, 342364, 353414, 1665235, 2643529
Fri Mar 23 03:15:05 2018, 0, 3685, 0, 8095, 342364, 354033, 1665235, 2644438
Fri Mar 23 03:30:06 2018, 0, 3809, 0, 9043, 342364, 353787, 1665235, 2645386
Fri Mar 23 03:45:05 2018, 0, 185, 0, 9701, 342364, 353882, 1665235, 2646044
Fri Mar 23 04:00:07 2018, 0, 20416, 0, 9947, 342364, 353900, 1665235, 2646290
Fri Mar 23 04:15:06 2018, 0, 3822, 0, 11483, 342364, 354559, 1665235, 2647826
Fri Mar 23 04:30:06 2018, 0, 3859, 0, 12464, 342364, 354817, 1665235, 2648807
Fri Mar 23 04:45:05 2018, 0, 429, 0, 13090, 342364, 355331, 1665235, 2649433
Fri Mar 23 05:00:08 2018, 0, 3484, 0, 13286, 342364, 354637, 1665235, 2649629
Fri Mar 23 05:15:05 2018, 0, 3954, 0, 14237, 342364, 354663, 1665235, 2650580
Fri Mar 23 05:30:05 2018, 0, 3745, 0, 15197, 342364, 355160, 1665235, 2651540
Fri Mar 23 05:45:05 2018, 0, 415, 0, 15659, 342364, 354710, 1665235, 2652002
Fri Mar 23 06:00:06 2018, 0, 3634, 0, 15995, 342364, 354172, 1665235, 2652338
Fri Mar 23 06:15:05 2018, 0, 6765, 0, 17126, 342364, 354416, 1665235, 2653469
Fri Mar 23 06:30:06 2018, 0, 3880, 0, 18751, 342364, 354130, 1665235, 2655094
Fri Mar 23 06:45:05 2018, 0, 3794, 0, 19867, 342364, 354331, 1665235, 2656210
Fri Mar 23 07:00:07 2018, 0, 3780, 0, 20813, 342364, 354324, 1665235, 2657156
Fri Mar 23 07:15:05 2018, 0, 5044, 0, 21816, 342364, 354516, 1665235, 2658159
Fri Mar 23 07:30:07 2018, 0, 4240, 0, 22918, 342364, 355341, 1665235, 2659261
Fri Mar 23 07:45:07 2018, 0, 5107, 0, 23998, 342364, 354812, 1665235, 2660341
Fri Mar 23 08:00:07 2018, 0, 3669, 0, 25750, 342364, 355613, 1665235, 2662093
Fri Mar 23 08:15:05 2018, 55, 4048, 2, 26768, 342348, 355670, 1665237, 2663111
Fri Mar 23 08:30:06 2018, 213, 574, 34, 27118, 342315, 355620, 1665269, 2663461
Fri Mar 23 08:45:06 2018, 411, 3732, 114, 27688, 342279, 355596, 1665349, 2664031
Fri Mar 23 09:00:07 2018, 543, 3787, 233, 28644, 342220, 355615, 1665468, 2664987
Fri Mar 23 09:15:08 2018, 789, 3949, 398, 29611, 342102, 355634, 1665633, 2665954
Fri Mar 23 09:30:06 2018, 1780, 305, 700, 30076, 342010, 354774, 1665935, 2666419
Fri Mar 23 09:45:05 2018, 1468, 3666, 1215, 30346, 341972, 354907, 1666450, 2666689
Fri Mar 23 10:00:06 2018, 1508, 4158, 1740, 31344, 341830, 355022, 1666975, 2667687
Fri Mar 23 10:15:05 2018, 1830, 527, 2131, 32587, 341082, 355696, 1667366, 2668930
Fri Mar 23 10:30:06 2018, 2350, 396, 2694, 32681, 340394, 355439, 1667929, 2669024
Fri Mar 23 10:45:05 2018, 3562, 4370, 3487, 33410, 339905, 355428, 1668722, 2669753
Fri Mar 23 11:00:06 2018, 8307, 265, 4894, 34179, 339567, 355967, 1670129, 2670522
Fri Mar 23 11:15:05 2018, 5608, 405, 6611, 34268, 339351, 355281, 1671846, 2670611
Fri Mar 23 11:30:06 2018, 6280, 4397, 8084, 34887, 338606, 355795, 1673319, 2671230
Fri Mar 23 11:45:06 2018, 9299, 176, 10063, 35535, 338438, 355530, 1675298, 2671878
Fri Mar 23 12:00:07 2018, 6535, 268, 12313, 35618, 338745, 355476, 1677548, 2671961
Fri Mar 23 12:15:05 2018, 9306, 294, 14490, 35681, 339514, 354822, 1679725, 2672024
Fri Mar 23 12:30:06 2018, 9788, 163, 16841, 35723, 339998, 354614, 1682076, 2672066
Fri Mar 23 12:45:05 2018, 9647, 4912, 19283, 36777, 340169, 355610, 1684518, 2673120
Fri Mar 23 13:00:07 2018, 10037, 169, 21781, 37047, 340352, 354778, 1687016, 2673390
Fri Mar 23 13:15:05 2018, 8581, 410, 23993, 37128, 340816, 354569, 1689228, 2673471
Fri Mar 23 13:30:06 2018, 10013, 369, 26448, 37208, 340894, 354548, 1691683, 2673551
Fri Mar 23 13:45:05 2018, 10027, 250, 28922, 37298, 340984, 354541, 1694157, 2673641
Fri Mar 23 14:00:07 2018, 9539, 260, 31385, 37362, 341231, 354014, 1696620, 2673705
Fri Mar 23 14:15:05 2018, 7348, 4185, 33623, 37517, 341506, 353587, 1698858, 2673860
Fri Mar 23 14:30:06 2018, 8268, 642, 35544, 38689, 341119, 354663, 1700779, 2675032
Fri Mar 23 14:45:05 2018, 8630, 165, 37475, 38744, 340994, 354609, 1702710, 2675087
Fri Mar 23 15:00:07 2018, 5995, 293, 39209, 38810, 340255, 354547, 1704444, 2675153
Fri Mar 23 15:15:05 2018, 5331, 172, 40485, 38862, 339522, 353677, 1705720, 2675205
Fri Mar 23 15:30:06 2018, 7778, 303, 42045, 38916, 338835, 353668, 1707280, 2675259
Fri Mar 23 15:45:05 2018, 6730, 269, 43847, 38974, 338511, 353573, 1709082, 2675317
Fri Mar 23 16:00:07 2018, 4057, 162, 44862, 39048, 337528, 353242, 1710097, 2675391
Fri Mar 23 16:15:06 2018, 3660, 413, 46011, 39109, 336620, 352888, 1711246, 2675452
Fri Mar 23 16:30:06 2018, 3148, 373, 46834, 39209, 335714, 352886, 1712069, 2675552
Fri Mar 23 16:45:05 2018, 3000, 264, 47843, 39288, 335126, 352875, 1713078, 2675631
Fri Mar 23 17:00:07 2018, 3059, 258, 48581, 39380, 334023, 352666, 1713816, 2675723
Fri Mar 23 17:15:05 2018, 3071, 406, 49423, 39446, 333266, 352283, 1714658, 2675789
Fri Mar 23 17:30:06 2018, 2812, 255, 50163, 39543, 333247, 351906, 1715398, 2675886
Fri Mar 23 17:45:06 2018, 2326, 163, 50795, 39585, 333441, 351495, 1716030, 2675928
Fri Mar 23 18:00:07 2018, 1914, 163, 51351, 39644, 333711, 351128, 1716586, 2675987
Fri Mar 23 18:15:05 2018, 1456, 291, 51759, 39722, 333888, 350898, 1716994, 2676065
Fri Mar 23 18:30:06 2018, 853, 158, 52026, 39766, 333988, 350841, 1717261, 2676109
Fri Mar 23 18:45:05 2018, 613, 4684, 52213, 40430, 334076, 351346, 1717448, 2676773
Fri Mar 23 19:00:06 2018, 487, 158, 52362, 40860, 334123, 351680, 1717597, 2677203
Fri Mar 23 19:15:05 2018, 440, 409, 52479, 40923, 334161, 351662, 1717714, 2677266
